"Location","1990","2000","2010","2020","2030","2040","2050"
"Greenland",107.442074397135,113.003856537314,125.412115587761,138.8843120165,168.14554642398,209.25202269893,233.276256446524
"Guatemala",3678.66900341336,6553.64496748341,8660.31559480781,10061.5818452594,12641.7368122678,16559.6187989163,21439.9368381744
"Guam",79.8598197096771,100.842507684383,138.826707607403,168.497807730378,204.881753372429,236.376543916521,257.26656355264
"Guyana",449.083198236728,589.421152654786,607.593922673481,720.371770674529,901.389940843488,1106.24968783184,1291.0094595033
"Honduras",1925.54406354934,3050.13092236914,4776.35110670845,7085.72148224005,9118.10868918551,12410.9964837664,17047.62708953
"Croatia",11534.9690158956,12342.0673594442,13096.4537210125,14142.2403599104,15542.6228478074,17011.5846765162,17356.0637277643
"Haiti",5711.22027024785,6597.34127033481,8216.71296214587,10549.3298806389,13228.4161751343,17556.1085322137,23316.3591981665
"Hungary",30808.7316821413,33672.2869153376,34077.4132594173,33002.8614278209,35043.8608586706,37408.6117332338,38323.6795841523
"Indonesia",85978.5681363424,122670.650392062,162683.803748659,221754.715538289,307960.14705728,419697.002827073,539233.098178133
"India",353099.443942874,448209.704052995,581279.087285901,840623.482344066,1102529.9746454,1454188.24720466,1881344.95462079
"Ireland",7617.12575698743,8122.16668602213,8397.72600585736,9553.85720503518,11564.9689456585,14712.2309258708,17720.8417767715
"Iran (Islamic Republic of)",23301.0135165278,28627.916717446,41939.4402071312,57198.3392066154,80699.1984594667,121835.153834299,174207.132346984
"Iraq",7120.83371743275,9347.74356177051,13427.1841429244,21030.0564342501,30117.9182391614,45913.5622687445,67615.5912058958
"Iceland",454.012227324467,497.972921005563,615.759814828765,684.847340121553,877.940880578482,1133.27506132604,1345.77276096207
"Israel",7039.19785646516,10460.3967087009,11790.4675565364,13490.160172517,17026.4097052938,22147.5695353234,26764.7475815086
"Italy",154032.004326175,168020.917968076,180771.834905034,189169.240459226,210474.560881617,237604.965609365,258314.789209651
"Jamaica",2119.59338377766,3115.7120708527,3483.58716854883,4004.36915203644,5100.71636960371,6474.88898234333,7752.56335585911
"Jordan",1235.70839445377,1775.28728234029,2742.70818425891,4646.84813463431,7659.02001810633,12615.3507952359,19779.1114806624
"Japan",243160.694660292,324489.56127682,396824.616311169,448537.01691453,516748.905943484,550066.653399862,543751.175031382
"Kazakhstan",25130.1340911196,21592.2519796926,20283.1179127564,17431.1130204544,21285.9224859448,26673.3215843441,31755.4188411137
"Kenya",6421.54331843215,9183.91606160754,15658.919899501,21757.8916591261,30331.099222068,44325.9219540625,63972.8343609406
"Kyrgyzstan",4241.81044126713,3384.79141579237,3520.32693199622,4227.67950788814,5753.51396551287,7864.65940907012,10178.5631147967
"Cambodia",5958.54933280295,7461.80663643135,9969.90634733881,14303.7941457564,19142.1413393045,25951.5912898509,34601.6007430895
"Kiribati",47.6147999999987,58.7232436964392,74.9795028516284,91.2445701400301,112.842205983945,138.090424245719,165.252960741182
"Saint Kitts and Nevis",64.1315312842799,60.3348834476574,69.0904078824042,87.9047499005227,122.062232041586,167.38308494353,198.364823062664
"Republic of Korea",57869.4893888668,67393.0167830524,77365.7060264668,94553.8487131139,130560.360493518,179959.535008795,223458.158957284
"Kuwait",469.14613067068,661.945037996411,880.890380768293,1502.31132198636,2699.99047931279,5134.87648791453,8977.8319361391
"Lao People's Democratic Republic",2785.76434975971,3233.07719365628,3707.34829367905,4734.64306206833,6657.42997874552,9553.00284539957,13406.4702825879
"Lebanon",2669.40793854666,3316.01204608996,5523.02850870189,6788.83133221309,7772.84177136754,10562.2723399981,14450.9599265132
"Liberia",1088.87770756183,1143.2774231619,1524.40736321484,2018.96648134877,2949.91916682934,4556.15017185882,6925.45240426269
"Libya",2288.93179388615,3130.23063525582,4569.66294829742,6468.54809454347,9962.90270557036,15511.1681380343,21545.6732842207
"Saint Lucia",143.960281436602,169.996642900822,197.42467079641,308.101994764081,375.338575684283,484.139211564033,591.601308366176
"Sri Lanka",8697.61636476428,11793.5290561909,13061.2520421794,14558.2097534616,20159.2206163166,25159.6973910955,29495.5645771484
"Lesotho",869.296631740825,1467.21944257148,1969.9845083479,2099.07429569151,2181.5875674693,2701.68209941207,3582.92368321414
"Lithuania",6936.67274755106,7569.19939180748,8312.81624354144,8345.83124394455,9237.61653274037,10005.38157083,10320.3103894686
"Luxembourg",1043.82575519909,1071.32310651291,1184.93049982416,1286.15794813235,1711.39927712835,2278.10464532401,2866.62786289965
"Latvia",5639.08858603154,5590.75545434647,6053.84937892026,5814.96454674445,5955.44077901218,6355.16796153969,6513.88910542539
"Morocco",7650.33930001669,9400.44094350717,13293.036770411,19384.4209561112,25387.0538197888,33579.6626542898,42225.024972739
"Monaco",132.201384968971,168.555369388577,192.779389533794,203.631777297528,226.974038976067,237.321266973314,229.901077421439
"Republic of Moldova",6525.65206587711,5176.18845626536,6417.51580901061,6567.34925585201,7425.27220374301,8071.40782418011,8328.63092488512
"Madagascar",6108.77877955544,6544.4510465504,8014.5207206119,11354.1157035548,15782.6568087482,23057.7440878678,32927.4863639149
"Maldives",76.8794236198782,96.5960484614824,111.302818622892,144.047361529122,233.713997603442,417.400094381153,741.202076284061
"Mexico",47962.3411570478,60898.6268321532,78248.7163320118,105708.101386811,144746.868894147,193717.089576793,246126.21670268
"Marshall Islands",20.029277503058,25.2903240359547,33.8508296333357,43.4268901009375,60.4313645111167,79.6280064353598,100.798850578788
"North Macedonia",2953.42941143789,3950.89407215771,4833.47137022441,4991.52337290641,5852.59472407119,7123.16378411808,8137.67704980439
"Mali",4856.03866966545,5387.84905556895,7307.92670247042,9848.67153394818,13395.6231685137,19385.0661822701,28960.0171321967
"Malta",636.785260290081,712.938909713391,862.306612270201,943.702677788351,1289.06230335333,1515.50396212486,1646.43641445232
"Myanmar",27812.7638055382,33010.9166492093,35262.877322369,43295.9142826345,54524.7891913888,69397.1261265776,85982.4210211758
"Montenegro",922.138270946928,1207.00791268443,1449.60677686995,1717.60178156691,1778.58158828064,2018.89529174369,2129.91629431243
"Mongolia",2499.01006503589,2816.37895594106,3747.98077588839,4728.20435572473,6969.23139284036,10303.9518724759,14096.1877124061
"Northern Mariana Islands",24.8765321057181,35.4724935440667,51.6131699112309,68.678085248154,98.5806768075285,127.800354706191,145.85472705544
