Location;1990;2000;2010;2020;2030;2040;2050
Djibouti;177.17864236047652;312.9216539242388;498.9263039887378;768.5566991719986;1211.862164468554;1890.5315438741545;2786.887268144301
Dominica;99.77912666160458;104.19197367231304;111.63844837639851;132.4252556299675;160.99702146287925;197.8146407074372;222.10212881284713
Denmark;15113.145080623646;16396.387222809775;16829.864863862447;17940.532977239134;21418.130154249866;23666.635939869753;25246.685448218457
Dominican Republic;3245.8446601680685;4921.687374767356;7181.713852048899;9613.66877545019;12564.648472562298;17145.47599858655;22845.66449281666
Algeria;7361.53914812065;8803.229066232989;12004.230850450796;16589.590428515283;23030.413904948895;33970.28385839696;48067.98819930014
Ecuador ;6079.968085430824;9155.266329149894;14181.37275630864;16705.136095453356;22368.620566381276;30274.05199749369;39620.3794153018
Eritrea;1874.4854386240013;2226.576190676281;3024.794219730074;3905.1846357799336;5256.885554496248;7381.594844134347;10171.83276538398
Spain;85814.24995626384;100507.6947864108;113839.38500321236;119063.96265098662;134944.2789075536;158552.64254782716;180428.1712692191
Estonia;3504.8001038530515;3604.6240426690206;3460.8683791088097;3792.8819963884944;4041.817437182463;4446.6210560179625;4772.885510096792
Ethiopia;34169.219537170815;36151.40486016799;34322.67604957062;46061.35345064584;66177.82511611357;101584.20130324611;158312.64056342046
Finland;10453.8622804376;10899.800203020772;12179.943054431782;14183.12141229198;16807.22926560579;19223.655278118364;20142.177822417107
Fiji;387.03062885738746;454.4174353566254;600.5400280626147;757.8411775047043;933.1383881993708;1143.4251817581498;1350.9468697128298
France;151389.83445107786;162353.91234713685;179452.16327572058;196310.5880551832;221344.46427361126;260144.24005468262;280867.58585034363
Micronesia (Federated States of);66.0426215576874;70.0724631389129;79.11134245171093;94.03094528723372;119.1696908771099;146.6526430365419;168.97921999489907
Gabon;767.0974582102294;927.6125463910122;1031.7178039443347;1328.536565594358;1784.5797959633855;2524.5925166068846;3505.6012442831006
United Kingdom;171310.2077866802;164746.45960641536;169037.4633372852;185516.3856123924;222700.8778444758;262068.24251875875;296215.2359307911
Georgia;7715.371671197971;6664.698008804453;7241.54444295508;9003.814455936548;9938.626122367828;10961.333770508578;11267.28438178124
Ghana;5869.644146137724;8636.26952744031;10479.103826981072;14753.66686800519;20670.201843661303;30365.386357278152;44480.58825973703
Guinea;3459.7487762508017;4680.979984806294;5459.883598976408;5943.69494161834;7506.85301806148;10545.910167295262;15265.04650356845
      Gambia;278.1994967470727;437.5244612876933;589.3966827347244;843.3981511736476;1105.5549142174455;1573.1297923688485;2294.084101681216 deaths
Guinea-Bissau;559.8444615815339;619.7479124801877;767.3796559730964;954.3178115389156;1266.0672821257879;1889.0668741035222;2844.5230357477
Equatorial Guinea;231.60604723715016;254.14522413238925;368.0587943919687;581.1047867578269;892.8454055749372;1536.4512468566656;2645.8779381448553
Greece;24716.90069387237;29183.1297988914;29762.5925319794;35410.86046151271;37875.99060287309;41423.845268560784;44449.02994684246
Grenada;111.71648353603491;130.4213236676041;160.0171015144385;175.7971406133491;225.74846097376303;283.9370760292269;335.2865548309246
Greenland;107.44207439713452;113.00385653731428;125.41211558776106;138.88431201650047;168.14554642398;209.25202269893003;233.27625644652375
